url,city,term
"https://www.google.com/maps/search/south+lyon+michigan+bars+and+restaurants/@42.4614,-83.6526,12z/",South Lyon,bars and restaurants
"https://www.google.com/maps/search/saginaw+michigan+bars+and+restaurants/@43.4199,-83.9501,12z/",Saginaw,bars and restaurants
"https://www.google.com/maps/search/holland+michigan+bars+and+restaurants/@42.7677,-86.0984,12z/",Holland,bars and restaurants
"https://www.google.com/maps/search/detroit+michigan+running+events/@42.3834,-83.1024,12z/",Detroit,running events
"https://www.google.com/maps/search/grand+rapids+michigan+running+events/@42.9619,-85.6562,12z/",Grand Rapids,running events
"https://www.google.com/maps/search/flint+michigan+running+events/@43.0236,-83.6921,12z/",Flint,running events
"https://www.google.com/maps/search/lansing+michigan+running+events/@42.7142,-84.5601,12z/",Lansing,running events
"https://www.google.com/maps/search/ann+arbor+michigan+running+events/@42.2759,-83.731,12z/",Ann Arbor,running events
"https://www.google.com/maps/search/kalamazoo+michigan+running+events/@42.2749,-85.5882,12z/",Kalamazoo,running events
"https://www.google.com/maps/search/muskegon+michigan+running+events/@43.2281,-86.2562,12z/",Muskegon,running events
"https://www.google.com/maps/search/warren+michigan+running+events/@42.4934,-83.027,12z/",Warren,running events
"https://www.google.com/maps/search/sterling+heights+michigan+running+events/@42.5809,-83.0305,12z/",Sterling Heights,running events
"https://www.google.com/maps/search/south+lyon+michigan+running+events/@42.4614,-83.6526,12z/",South Lyon,running events
"https://www.google.com/maps/search/saginaw+michigan+running+events/@43.4199,-83.9501,12z/",Saginaw,running events
"https://www.google.com/maps/search/holland+michigan+running+events/@42.7677,-86.0984,12z/",Holland,running events
"https://www.google.com/maps/search/detroit+michigan+summer+camps/@42.3834,-83.1024,12z/",Detroit,summer camps
"https://www.google.com/maps/search/grand+rapids+michigan+summer+camps/@42.9619,-85.6562,12z/",Grand Rapids,summer camps
"https://www.google.com/maps/search/flint+michigan+summer+camps/@43.0236,-83.6921,12z/",Flint,summer camps
"https://www.google.com/maps/search/lansing+michigan+summer+camps/@42.7142,-84.5601,12z/",Lansing,summer camps
"https://www.google.com/maps/search/ann+arbor+michigan+summer+camps/@42.2759,-83.731,12z/",Ann Arbor,summer camps
"https://www.google.com/maps/search/kalamazoo+michigan+summer+camps/@42.2749,-85.5882,12z/",Kalamazoo,summer camps
"https://www.google.com/maps/search/muskegon+michigan+summer+camps/@43.2281,-86.2562,12z/",Muskegon,summer camps
"https://www.google.com/maps/search/warren+michigan+summer+camps/@42.4934,-83.027,12z/",Warren,summer camps
"https://www.google.com/maps/search/sterling+heights+michigan+summer+camps/@42.5809,-83.0305,12z/",Sterling Heights,summer camps
"https://www.google.com/maps/search/south+lyon+michigan+summer+camps/@42.4614,-83.6526,12z/",South Lyon,summer camps
"https://www.google.com/maps/search/saginaw+michigan+summer+camps/@43.4199,-83.9501,12z/",Saginaw,summer camps
"https://www.google.com/maps/search/holland+michigan+summer+camps/@42.7677,-86.0984,12z/",Holland,summer camps
"https://www.google.com/maps/search/detroit+michigan+parent+teacher+orgs/@42.3834,-83.1024,12z/",Detroit,parent teacher orgs
"https://www.google.com/maps/search/grand+rapids+michigan+parent+teacher+orgs/@42.9619,-85.6562,12z/",Grand Rapids,parent teacher orgs
"https://www.google.com/maps/search/flint+michigan+parent+teacher+orgs/@43.0236,-83.6921,12z/",Flint,parent teacher orgs
"https://www.google.com/maps/search/lansing+michigan+parent+teacher+orgs/@42.7142,-84.5601,12z/",Lansing,parent teacher orgs
"https://www.google.com/maps/search/ann+arbor+michigan+parent+teacher+orgs/@42.2759,-83.731,12z/",Ann Arbor,parent teacher orgs
"https://www.google.com/maps/search/kalamazoo+michigan+parent+teacher+orgs/@42.2749,-85.5882,12z/",Kalamazoo,parent teacher orgs
"https://www.google.com/maps/search/muskegon+michigan+parent+teacher+orgs/@43.2281,-86.2562,12z/",Muskegon,parent teacher orgs
"https://www.google.com/maps/search/warren+michigan+parent+teacher+orgs/@42.4934,-83.027,12z/",Warren,parent teacher orgs
"https://www.google.com/maps/search/sterling+heights+michigan+parent+teacher+orgs/@42.5809,-83.0305,12z/",Sterling Heights,parent teacher orgs
"https://www.google.com/maps/search/south+lyon+michigan+parent+teacher+orgs/@42.4614,-83.6526,12z/",South Lyon,parent teacher orgs
"https://www.google.com/maps/search/saginaw+michigan+parent+teacher+orgs/@43.4199,-83.9501,12z/",Saginaw,parent teacher orgs
"https://www.google.com/maps/search/holland+michigan+parent+teacher+orgs/@42.7677,-86.0984,12z/",Holland,parent teacher orgs
"https://www.google.com/maps/search/detroit+michigan+elementary+schools/@42.3834,-83.1024,12z/",Detroit,elementary schools
"https://www.google.com/maps/search/grand+rapids+michigan+elementary+schools/@42.9619,-85.6562,12z/",Grand Rapids,elementary schools
"https://www.google.com/maps/search/flint+michigan+elementary+schools/@43.0236,-83.6921,12z/",Flint,elementary schools
"https://www.google.com/maps/search/lansing+michigan+elementary+schools/@42.7142,-84.5601,12z/",Lansing,elementary schools
"https://www.google.com/maps/search/ann+arbor+michigan+elementary+schools/@42.2759,-83.731,12z/",Ann Arbor,elementary schools
"https://www.google.com/maps/search/kalamazoo+michigan+elementary+schools/@42.2749,-85.5882,12z/",Kalamazoo,elementary schools
"https://www.google.com/maps/search/muskegon+michigan+elementary+schools/@43.2281,-86.2562,12z/",Muskegon,elementary schools
"https://www.google.com/maps/search/warren+michigan+elementary+schools/@42.4934,-83.027,12z/",Warren,elementary schools
"https://www.google.com/maps/search/sterling+heights+michigan+elementary+schools/@42.5809,-83.0305,12z/",Sterling Heights,elementary schools
"https://www.google.com/maps/search/south+lyon+michigan+elementary+schools/@42.4614,-83.6526,12z/",South Lyon,elementary schools
"https://www.google.com/maps/search/saginaw+michigan+elementary+schools/@43.4199,-83.9501,12z/",Saginaw,elementary schools
"https://www.google.com/maps/search/holland+michigan+elementary+schools/@42.7677,-86.0984,12z/",Holland,elementary schools
